id,WI,dem,urban_near,road_near,耕地面积,林地面积,草地面积,湿地面积,城市面积,裸地面积,水体面积,NTL_mean
BD201400000433,4.851851852,12.85714286,0,499.7839854,91162587.8,0,0,0,10343559.49,0,407620.2166,1.864023864
BD201400000434,2.8,16.5215311,22057.93576,724.5069816,91162587.8,2820970.771,417921.5957,0,1922700.208,0,4954831.066,0.247352521
BD201400000435,3.633333333,38.33809524,16571.04913,7176.156863,91162587.8,0,0,0,208960.7978,0,10667802.17,0.259504563
BD201400000436,3.655172414,23.30227273,2109.145666,1582.377515,91162587.8,0,5143164.549,0,3638881.744,626882.3936,24514925.57,1.263502876
BD201400000437,1.633333333,10.20952381,19903.20761,1329.90769,91162587.8,0,0,0,0,0,12046380.37,0.316302413
BD201400000438,2.793103448,16.1937799,9055.283218,5354.990724,91162587.8,0,0,0,202318.3108,0,483203.2233,0.55192173
BD201400000439,5,15.69856459,314.6762834,155.611801,91162587.8,313441.1968,1572512.456,0,7522588.723,0,13090435.51,0.923070098
BD201400000440,4.2,17.88181818,0,580.2237197,91162587.8,313441.1968,2587926.916,0,7522588.723,142617.6616,23640015.19,0.88623175
BD201400000441,4.75862069,16.74829932,0,180.6416173,91162587.8,0,2831707.693,0,19502591.6,1293477.221,20442019.72,3.09480757
BD201400000442,4.8,18.27272727,0,67.38806271,91162587.8,0,8370526.778,0,20734078.84,2543508.266,25063741.39,3.132640112
BD201400000443,4.714285714,20.40136054,455.2963915,108.688303,91162587.8,0,9916091.73,0,13004271.67,132111.8465,21742322.39,2.473102913
BD201400000444,4.357142857,14.94104308,794.4673374,761.7301766,91162587.8,0,1780934.583,0,19398014.88,1089219.734,14308711.41,3.139325752
BD201400000445,3.3,15.28798186,1262.84746,1011.025778,91162587.8,0,0,0,16093778.72,0,2457893.208,3.009459261
BD201400000446,2.65,14.49772727,10378.4231,4723.297295,91162587.8,0,0,0,0,0,0,0.526797868
BD201400000447,2.4,18.6047619,5233.904326,713.2717348,91162587.8,0,1044803.989,0,750680.211,0,2918869.302,0.269299663
BD201400000448,2.517241379,18.82,7337.528957,3522.94533,91162587.8,0,0,0,104480.3989,0,0,0.311347263
BD201400000449,1.8,18.92142857,7969.090727,3075.315526,91162587.8,0,0,0,0,0,104480.3989,0.209610513
BD201400000450,2.724137931,18.73863636,9563.390412,9104.073959,91162587.8,0,0,0,104480.3989,0,0,0.287117135
BD201400000451,2.172413793,19.75238095,10785.08184,5669.706384,91162587.8,0,0,0,0,0,0,0.435093848
BD201400000452,2.866666667,28.49305556,6122.565117,5149.07608,91162587.8,0,0,0,0,0,731362.7925,0.437528793
BD201400000453,2.666666667,46.64090909,10637.64588,10309.50706,91162587.8,0,0,0,104480.3989,0,474004.8958,0.284331598
BD201400000454,2.103448276,36.37844612,0,1550.151296,91162587.8,0,0,0,10709705.58,0,626882.3936,1.027667677
BD201400000455,2.275862069,39.35588972,14364.94577,4370.45126,91162587.8,1358245.186,0,0,0,0,522401.9946,0.194414602
BD201400000456,1.7,43.20300752,8423.781387,6122.4638,91162587.8,0,0,0,0,0,940323.5903,0.228007208
BD201400000457,2.333333333,31.46779661,7852.26948,2801.326629,91162587.8,0,0,0,108583.1688,0,522401.9946,0.329634614
BD201400000458,2.4,27.48275862,2408.467668,760.8324567,91162587.8,0,0,0,2089607.979,0,1760056.588,0.685999899
